City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Chinsali,ZM,2021-12-23 17:37:37,-10.5414,32.0816,70.81,67,97,2.95,overcast clouds
119,Muzhi,RU,2021-12-23 17:29:40,65.3667,64.6667,-14.21,96,20,7.7,few clouds
120,Portland,US,2021-12-23 17:34:24,45.5234,-122.6762,44.58,91,75,1.01,broken clouds
121,Pokrovsk,UA,2021-12-23 17:33:02,48.282,37.1758,6.57,95,46,2.06,scattered clouds
122,Kirakira,SB,2021-12-23 17:37:38,-10.4544,161.9205,79.97,83,94,3.06,overcast clouds
123,Yenagoa,NG,2021-12-23 17:37:38,4.9247,6.2642,84.97,43,98,7.31,overcast clouds
124,Midland,US,2021-12-23 17:37:38,31.9974,-102.0779,72.48,14,1,6.91,clear sky
125,Bandrele,YT,2021-12-23 17:37:39,-12.9067,45.1914,83.95,79,20,10.36,few clouds
126,Maria La Baja,CO,2021-12-23 17:37:39,9.9832,-75.3016,87.64,72,44,5.06,scattered clouds
127,Arlit,NE,2021-12-23 17:37:39,18.7369,7.3853,71.55,11,60,17.22,broken clouds
128,Marawi,PH,2021-12-23 17:37:40,7.9986,124.2928,67.64,97,95,0.94,overcast clouds
129,Kungur,RU,2021-12-23 17:37:40,57.4368,56.9593,2.61,95,98,8.19,overcast clouds
130,Constitucion,CL,2021-12-23 17:34:32,-35.3333,-72.4167,65.57,66,56,9.71,broken clouds
131,Ajdabiya,LY,2021-12-23 17:38:41,30.7554,20.2263,58.35,78,85,1.97,overcast clouds
132,Evensk,RU,2021-12-23 17:38:41,61.95,159.2333,-1.43,79,100,16.06,overcast clouds
133,Port Hardy,CA,2021-12-23 17:34:39,50.6996,-127.4199,37.76,80,75,6.91,broken clouds
134,Nikolskoye,RU,2021-12-23 17:34:43,59.7035,30.7861,28.02,86,100,15.77,overcast clouds
135,Buala,SB,2021-12-23 17:38:42,-8.145,159.5921,80.01,80,100,1.81,light rain
136,Buraydah,SA,2021-12-23 17:38:42,26.326,43.975,64.85,27,77,9.22,broken clouds
137,Taltal,CL,2021-12-23 17:38:42,-25.4,-70.4833,70.23,67,85,4.34,overcast clouds
138,Saint-Denis,FR,2021-12-23 17:38:43,48.9167,2.3333,48.81,84,0,1.01,clear sky
139,Virginia Beach,US,2021-12-23 17:37:39,36.8529,-75.978,44.65,57,1,1.99,clear sky
140,Kununurra,AU,2021-12-23 17:34:41,-15.7667,128.7333,82.38,78,99,6.91,overcast clouds
141,Amazar,RU,2021-12-23 17:38:43,53.858,120.875,-22.18,87,48,5.17,scattered clouds
142,Shache,CN,2021-12-23 17:29:43,38.4167,77.2406,32.41,43,100,2.86,overcast clouds
143,Sinnamary,GF,2021-12-23 17:33:27,5.3833,-52.95,80.37,88,98,12.8,overcast clouds
144,San Patricio,US,2021-12-23 17:38:44,28.017,-97.5169,77.94,54,0,16.35,clear sky
145,Parabel,RU,2021-12-23 17:38:44,58.6978,81.4825,13.55,95,100,9.66,light snow
146,Grindavik,IS,2021-12-23 17:38:45,63.8424,-22.4338,33.75,69,0,8.05,clear sky
147,Imeni Poliny Osipenko,RU,2021-12-23 17:38:45,52.4201,136.4853,-9.71,98,100,2.91,light snow
148,Atuona,PF,2021-12-23 17:38:45,-9.8,-139.0333,79.16,77,17,19.35,few clouds
149,Iringa,TZ,2021-12-23 17:38:46,-7.7667,35.7,68.32,60,64,12.75,broken clouds
150,Tasiilaq,GL,2021-12-23 17:38:46,65.6145,-37.6368,23.16,51,0,7.52,clear sky
151,Arcachon,FR,2021-12-23 17:38:47,44.5875,-1.0519,55.72,87,100,4.61,overcast clouds
152,Suluq,LY,2021-12-23 17:38:47,31.6682,20.2521,55.53,80,71,2.62,broken clouds
153,Santa Rosa,PH,2021-12-23 17:38:47,14.3122,121.1114,80.58,79,30,5.41,scattered clouds
154,Chimbote,PE,2021-12-23 17:34:50,-9.0853,-78.5783,74.46,71,43,10.8,scattered clouds
155,Hualmay,PE,2021-12-23 17:29:04,-11.0964,-77.6139,73.83,73,77,9.66,broken clouds
156,Saint-Philippe,RE,2021-12-23 17:38:48,-21.3585,55.7679,80.19,84,100,2.33,overcast clouds
157,Narsaq,GL,2021-12-23 17:38:48,60.9167,-46.05,39.42,61,100,10.2,overcast clouds
158,Geraldton,AU,2021-12-23 17:38:48,-28.7667,114.6,72.01,73,0,13.8,clear sky
159,Richards Bay,ZA,2021-12-23 17:38:49,-28.783,32.0377,70.36,92,96,10.4,light rain
160,Ballina,AU,2021-12-23 17:38:49,-28.8667,153.5667,69.98,94,90,5.75,overcast clouds
161,Mengcheng,CN,2021-12-23 17:38:49,33.2579,116.5655,43.32,73,86,10.09,overcast clouds
162,Manta,EC,2021-12-23 17:30:24,-0.95,-80.7333,76.78,83,90,9.22,overcast clouds
163,Nurota,UZ,2021-12-23 17:30:31,40.5614,65.6886,32.09,61,6,8.57,clear sky
164,Mucuri,BR,2021-12-23 17:38:50,-18.0864,-39.5508,88.81,63,55,4.05,light rain
165,Natal,BR,2021-12-23 17:38:50,-5.795,-35.2094,90.25,66,75,12.66,broken clouds
