City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,Bismarck,46.8083,-100.7837,24.21,65,1,11.5,US,2021-12-21 21:28:40
92,Clyde River,70.4692,-68.5914,7.03,78,90,20.71,CA,2021-12-21 21:29:59
93,Somerset,40.5668,-74.5496,42.12,67,1,1.01,US,2021-12-21 21:31:38
94,Fortuna,40.5982,-124.1573,52.14,93,40,1.99,US,2021-12-21 21:31:13
95,Lavrentiya,65.5833,-171.0,-6.43,81,57,4.07,RU,2021-12-21 21:27:24
96,Constitucion,-35.3333,-72.4167,69.26,54,2,16.02,CL,2021-12-21 21:31:25
97,East London,-33.0153,27.9116,71.04,88,54,13.49,ZA,2021-12-21 21:31:38
98,Chateaubelair,13.2833,-61.25,81.21,89,75,20.71,VC,2021-12-21 21:31:39
99,Gigmoto,13.7796,124.39,77.74,89,94,4.16,PH,2021-12-21 21:31:39
100,Ponta Delgada,37.7333,-25.6667,67.5,88,75,19.57,PT,2021-12-21 21:31:39
101,Codrington,-38.2667,141.9667,59.56,65,100,8.75,AU,2021-12-21 21:31:40
102,Torbay,47.6666,-52.7314,31.75,88,75,13.8,CA,2021-12-21 21:30:09
103,Vanavara,60.34,102.2797,-37.7,100,39,0.54,RU,2021-12-21 21:31:40
104,Ancud,-41.8697,-73.8203,69.33,66,2,4.03,CL,2021-12-21 21:31:41
105,Tuktoyaktuk,69.4541,-133.0374,3.2,78,90,17.27,CA,2021-12-21 21:31:41
106,Severnyy,50.677,36.5532,3.24,78,0,6.71,RU,2021-12-21 21:31:41
107,Seymour,38.9592,-85.8903,48.27,59,0,4.0,US,2021-12-21 21:31:42
108,Castel San Pietro Terme,44.3986,11.5848,46.09,86,100,4.76,IT,2021-12-21 21:31:42
109,Labrea,-7.2586,-64.7981,78.37,91,100,2.64,BR,2021-12-21 21:31:42
110,Saint-Philippe,-21.3585,55.7679,76.59,89,93,13.31,RE,2021-12-21 21:31:43
111,Saskylakh,71.9167,114.0833,-22.63,99,97,4.0,RU,2021-12-21 21:31:43
112,Jamestown,42.097,-79.2353,38.84,69,1,10.36,US,2021-12-21 21:31:44
113,Saint George,37.1041,-113.5841,59.34,48,1,1.99,US,2021-12-21 21:27:01
114,Marsa Matruh,31.3525,27.2453,57.52,71,10,16.78,EG,2021-12-21 21:31:44
115,Manyana,-23.4,21.7167,70.74,59,100,10.11,BW,2021-12-21 21:31:44
116,Upernavik,72.7868,-56.1549,25.54,67,10,5.73,GL,2021-12-21 21:31:45
